VSB	ID	VGB
1.23501e-04	4.16680e-03	5.00184e+00
1.01227e-02	4.12750e-03	5.00146e+00
2.01230e-02	4.09018e-03	5.00139e+00
3.01209e-02	4.05331e-03	5.00139e+00
4.01217e-02	4.01666e-03	5.00138e+00
5.01231e-02	3.98011e-03	5.00134e+00
6.01211e-02	3.94384e-03	5.00134e+00
7.01240e-02	3.90788e-03	5.00136e+00
8.01242e-02	3.87191e-03	5.00134e+00
9.01253e-02	3.83634e-03	5.00134e+00
1.00125e-01	3.80077e-03	5.00133e+00
1.10125e-01	3.76539e-03	5.00133e+00
1.20125e-01	3.73017e-03	5.00134e+00
1.30122e-01	3.69509e-03	5.00132e+00
1.40123e-01	3.66014e-03	5.00136e+00
1.50122e-01	3.62545e-03	5.00135e+00
1.60120e-01	3.59087e-03	5.00136e+00
1.70119e-01	3.55640e-03	5.00138e+00
1.80117e-01	3.52209e-03	5.00138e+00
1.90117e-01	3.48783e-03	5.00137e+00
2.00120e-01	3.45369e-03	5.00138e+00
2.10151e-01	3.41979e-03	5.00139e+00
2.20140e-01	3.38597e-03	5.00138e+00
2.30129e-01	3.35229e-03	5.00138e+00
2.40153e-01	3.31877e-03	5.00140e+00
2.50140e-01	3.28535e-03	5.00137e+00
2.60165e-01	3.25206e-03	5.00136e+00
2.70153e-01	3.21889e-03	5.00134e+00
2.80136e-01	3.18594e-03	5.00134e+00
2.90159e-01	3.15310e-03	5.00130e+00
3.00148e-01	3.12040e-03	5.00136e+00
3.10136e-01	3.08791e-03	5.00134e+00
3.20164e-01	3.05544e-03	5.00132e+00
3.30152e-01	3.02322e-03	5.00132e+00
3.40138e-01	2.99107e-03	5.00133e+00
3.50163e-01	2.95897e-03	5.00134e+00
3.60155e-01	2.92703e-03	5.00132e+00
3.70145e-01	2.89539e-03	5.00132e+00
3.80165e-01	2.86361e-03	5.00130e+00
3.90151e-01	2.83215e-03	5.00128e+00
4.00141e-01	2.80090e-03	5.00129e+00
4.10162e-01	2.76958e-03	5.00128e+00
4.20156e-01	2.73865e-03	5.00127e+00
4.30140e-01	2.70784e-03	5.00130e+00
4.40161e-01	2.67698e-03	5.00129e+00
4.50146e-01	2.64638e-03	5.00130e+00
4.60135e-01	2.61584e-03	5.00128e+00
4.70163e-01	2.58549e-03	5.00129e+00
4.80149e-01	2.55535e-03	5.00131e+00
4.90140e-01	2.52536e-03	5.00131e+00
5.00162e-01	2.49545e-03	5.00132e+00
5.10151e-01	2.46563e-03	5.00131e+00
5.20174e-01	2.43598e-03	5.00132e+00
5.30162e-01	2.40644e-03	5.00131e+00
5.40147e-01	2.37723e-03	5.00130e+00
5.50168e-01	2.34790e-03	5.00127e+00
5.60158e-01	2.31887e-03	5.00127e+00
5.70148e-01	2.28999e-03	5.00129e+00
5.80167e-01	2.26110e-03	5.00127e+00
5.90159e-01	2.23260e-03	5.00128e+00
6.00143e-01	2.20401e-03	5.00129e+00
6.10169e-01	2.17573e-03	5.00129e+00
6.20154e-01	2.14761e-03	5.00130e+00
6.30140e-01	2.11967e-03	5.00127e+00
6.40163e-01	2.09170e-03	5.00128e+00
6.50150e-01	2.06406e-03	5.00132e+00
6.60139e-01	2.03652e-03	5.00130e+00
6.70160e-01	2.00901e-03	5.00132e+00
6.80146e-01	1.98174e-03	5.00132e+00
6.90138e-01	1.95473e-03	5.00131e+00
