VSB	ID	VGB
1.04713e-04	1.08153e-03	3.00112e+00
1.00980e-02	1.05767e-03	3.00095e+00
2.00996e-02	1.03470e-03	3.00095e+00
3.01003e-02	1.01184e-03	3.00093e+00
4.00999e-02	9.88736e-04	3.00091e+00
5.01097e-02	9.66420e-04	3.00092e+00
6.01090e-02	9.44368e-04	3.00091e+00
7.01089e-02	9.22481e-04	3.00092e+00
8.01104e-02	9.00919e-04	3.00093e+00
9.01088e-02	8.79615e-04	3.00093e+00
1.00112e-01	8.58487e-04	3.00091e+00
1.10112e-01	8.37598e-04	3.00091e+00
1.20112e-01	8.17009e-04	3.00094e+00
1.30112e-01	7.96606e-04	3.00093e+00
1.40112e-01	7.76441e-04	3.00092e+00
1.50111e-01	7.56522e-04	3.00089e+00
1.60110e-01	7.36841e-04	3.00092e+00
1.70111e-01	7.17389e-04	3.00092e+00
1.80111e-01	6.98191e-04	3.00093e+00
1.90106e-01	6.79241e-04	3.00093e+00
2.00105e-01	6.60554e-04	3.00093e+00
2.10137e-01	6.42039e-04	3.00092e+00
2.20121e-01	6.23868e-04	3.00095e+00
2.30113e-01	6.05933e-04	3.00095e+00
2.40138e-01	5.88163e-04	3.00098e+00
2.50127e-01	5.70682e-04	3.00097e+00
2.60148e-01	5.53394e-04	3.00095e+00
2.70144e-01	5.36423e-04	3.00098e+00
2.80128e-01	5.19673e-04	3.00096e+00
2.90148e-01	5.03141e-04	3.00094e+00
3.00138e-01	4.86927e-04	3.00094e+00
3.10121e-01	4.71013e-04	3.00097e+00
3.20146e-01	4.55229e-04	3.00096e+00
3.30133e-01	4.39747e-04	3.00095e+00
3.40124e-01	4.24566e-04	3.00097e+00
3.50149e-01	4.09521e-04	3.00099e+00
3.60143e-01	3.94841e-04	3.00099e+00
3.70129e-01	3.80366e-04	3.00100e+00
3.80154e-01	3.66191e-04	3.00101e+00
3.90144e-01	3.52257e-04	3.00099e+00
4.00131e-01	3.38614e-04	3.00097e+00
4.10151e-01	3.25133e-04	3.00100e+00
4.20142e-01	3.12022e-04	3.00101e+00
4.30125e-01	2.99116e-04	3.00100e+00
4.40147e-01	2.86487e-04	3.00097e+00
4.50135e-01	2.74148e-04	3.00098e+00
4.60124e-01	2.62089e-04	3.00097e+00
4.70151e-01	2.50205e-04	3.00097e+00
4.80140e-01	2.38685e-04	3.00095e+00
4.90124e-01	2.27431e-04	3.00096e+00
5.00148e-01	2.16365e-04	3.00096e+00
5.10133e-01	2.05656e-04	3.00096e+00
5.20157e-01	1.95164e-04	3.00098e+00
5.30145e-01	1.84977e-04	3.00097e+00
5.40135e-01	1.75057e-04	3.00096e+00
5.50159e-01	1.65409e-04	3.00095e+00
5.60150e-01	1.56059e-04	3.00095e+00
5.70137e-01	1.47000e-04	3.00095e+00
5.80159e-01	1.38171e-04	3.00094e+00
5.90146e-01	1.29668e-04	3.00094e+00
6.00132e-01	1.21454e-04	3.00096e+00
6.10156e-01	1.13451e-04	3.00093e+00
6.20139e-01	1.05811e-04	3.00096e+00
6.30125e-01	9.84201e-05	3.00095e+00
6.40152e-01	9.12953e-05	3.00097e+00
6.50141e-01	8.44792e-05	3.00096e+00
6.60129e-01	7.79505e-05	3.00095e+00
6.70153e-01	7.16734e-05	3.00094e+00
6.80140e-01	6.57182e-05	3.00099e+00
6.90125e-01	6.00391e-05	3.00097e+00
7.00146e-01	5.46448e-05	3.00098e+00
7.10138e-01	4.95289e-05	3.00096e+00
7.20123e-01	4.47012e-05	3.00096e+00
7.30148e-01	4.01374e-05	3.00097e+00
7.40131e-01	3.58825e-05	3.00097e+00
7.50118e-01	3.18945e-05	3.00095e+00
7.60152e-01	2.81652e-05	3.00096e+00
7.70138e-01	2.47426e-05	3.00097e+00
7.80163e-01	2.15617e-05	3.00098e+00
7.90149e-01	1.86517e-05	3.00097e+00
8.00140e-01	1.60118e-05	3.00098e+00
8.10163e-01	1.36142e-05	3.00097e+00
8.20149e-01	1.14742e-05	3.00095e+00
8.30140e-01	9.57493e-06	3.00099e+00
8.40169e-01	7.89499e-06	3.00100e+00
8.50158e-01	6.43682e-06	3.00100e+00
8.60143e-01	5.18485e-06	3.00099e+00
8.70164e-01	4.12096e-06	3.00098e+00
8.80152e-01	3.23247e-06	3.00096e+00
8.90141e-01	2.50095e-06	3.00098e+00
9.00163e-01	1.90941e-06	3.00098e+00
9.10155e-01	1.43799e-06	3.00099e+00
9.20144e-01	1.06945e-06	3.00100e+00
9.30169e-01	7.84976e-07	3.00098e+00
9.40155e-01	5.70892e-07	3.00097e+00
9.50144e-01	4.10830e-07	3.00097e+00
9.60167e-01	2.92976e-07	3.00099e+00
9.70154e-01	2.07302e-07	3.00096e+00
9.80141e-01	1.45856e-07	3.00097e+00
9.90162e-01	1.01954e-07	3.00097e+00
1.00015e+00	7.12178e-08	3.00095e+00
1.01014e+00	4.95230e-08	3.00095e+00
1.02015e+00	3.42763e-08	3.00096e+00
1.03014e+00	2.37308e-08	3.00099e+00
1.04017e+00	1.63527e-08	3.00101e+00
1.05015e+00	1.12587e-08	3.00098e+00
1.06014e+00	7.75529e-09	3.00100e+00
1.07017e+00	5.32452e-09	3.00096e+00
1.08016e+00	3.65821e-09	3.00098e+00
1.09014e+00	2.51316e-09	3.00099e+00
1.10016e+00	1.72398e-09	3.00097e+00
1.11015e+00	1.18024e-09	3.00098e+00
1.12014e+00	8.15788e-10	3.00102e+00
1.13016e+00	5.60858e-10	3.00100e+00
1.14016e+00	3.85327e-10	3.00102e+00
1.15014e+00	2.64495e-10	3.00102e+00
1.16016e+00	1.81722e-10	3.00102e+00
1.17014e+00	1.25027e-10	3.00104e+00
1.18013e+00	8.63324e-11	3.00104e+00
1.19016e+00	5.96689e-11	3.00101e+00
1.20015e+00	4.15937e-11	3.00106e+00
1.21014e+00	2.91438e-11	3.00101e+00
1.22016e+00	2.06779e-11	3.00100e+00
1.23015e+00	1.49678e-11	3.00101e+00
1.24013e+00	1.09869e-11	3.00096e+00
1.25015e+00	8.28683e-12	3.00097e+00
1.26014e+00	6.46412e-12	3.00097e+00
1.27013e+00	5.17738e-12	3.00096e+00
1.28016e+00	4.33338e-12	3.00100e+00
1.29014e+00	3.75175e-12	3.00106e+00
1.30016e+00	3.32427e-12	3.00107e+00
1.31015e+00	3.04294e-12	3.00101e+00
1.32014e+00	2.83015e-12	3.00105e+00
1.33017e+00	2.66898e-12	3.00104e+00
1.34016e+00	2.58148e-12	3.00103e+00
