VSB	ID	VGB
1.15705e-04	2.43209e-03	4.00165e+00
1.01112e-02	2.39966e-03	4.00138e+00
2.01088e-02	2.36845e-03	4.00134e+00
3.01100e-02	2.33750e-03	4.00132e+00
4.01122e-02	2.30680e-03	4.00133e+00
5.01107e-02	2.27627e-03	4.00133e+00
6.01112e-02	2.24596e-03	4.00132e+00
7.01110e-02	2.21587e-03	4.00133e+00
8.01102e-02	2.18603e-03	4.00133e+00
9.01102e-02	2.15636e-03	4.00134e+00
1.00111e-01	2.12684e-03	4.00131e+00
1.10109e-01	2.09752e-03	4.00132e+00
1.20111e-01	2.06844e-03	4.00131e+00
1.30110e-01	2.03945e-03	4.00132e+00
1.40110e-01	2.01055e-03	4.00133e+00
1.50109e-01	1.98200e-03	4.00131e+00
1.60110e-01	1.95351e-03	4.00132e+00
1.70112e-01	1.92523e-03	4.00130e+00
1.80107e-01	1.89709e-03	4.00131e+00
1.90105e-01	1.86920e-03	4.00132e+00
2.00106e-01	1.84141e-03	4.00128e+00
2.10139e-01	1.81374e-03	4.00129e+00
2.20121e-01	1.78647e-03	4.00131e+00
2.30115e-01	1.75929e-03	4.00130e+00
2.40140e-01	1.73218e-03	4.00127e+00
2.50127e-01	1.70534e-03	4.00129e+00
2.60153e-01	1.67867e-03	4.00129e+00
2.70143e-01	1.65218e-03	4.00131e+00
2.80129e-01	1.62598e-03	4.00130e+00
2.90152e-01	1.59978e-03	4.00128e+00
3.00139e-01	1.57381e-03	4.00130e+00
3.10126e-01	1.54802e-03	4.00128e+00
3.20148e-01	1.52247e-03	4.00128e+00
3.30137e-01	1.49709e-03	4.00127e+00
3.40125e-01	1.47191e-03	4.00131e+00
3.50152e-01	1.44688e-03	4.00133e+00
3.60140e-01	1.42202e-03	4.00130e+00
3.70131e-01	1.39748e-03	4.00131e+00
3.80151e-01	1.37296e-03	4.00128e+00
3.90141e-01	1.34870e-03	4.00131e+00
4.00128e-01	1.32472e-03	4.00130e+00
4.10148e-01	1.30073e-03	4.00130e+00
4.20140e-01	1.27696e-03	4.00130e+00
4.30128e-01	1.25356e-03	4.00131e+00
4.40149e-01	1.23001e-03	4.00129e+00
4.50134e-01	1.20701e-03	4.00128e+00
4.60123e-01	1.18397e-03	4.00127e+00
4.70154e-01	1.16129e-03	4.00126e+00
4.80139e-01	1.13866e-03	4.00128e+00
4.90124e-01	1.11638e-03	4.00131e+00
5.00147e-01	1.09412e-03	4.00131e+00
5.10133e-01	1.07214e-03	4.00130e+00
5.20156e-01	1.05031e-03	4.00131e+00
5.30145e-01	1.02877e-03	4.00130e+00
5.40132e-01	1.00735e-03	4.00131e+00
5.50153e-01	9.85623e-04	4.00129e+00
5.60153e-01	9.64629e-04	4.00129e+00
5.70141e-01	9.43864e-04	4.00128e+00
5.80163e-01	9.23159e-04	4.00128e+00
5.90150e-01	9.02770e-04	4.00127e+00
6.00140e-01	8.82545e-04	4.00124e+00
6.10163e-01	8.62456e-04	4.00126e+00
6.20150e-01	8.42720e-04	4.00127e+00
6.30137e-01	8.23134e-04	4.00129e+00
6.40162e-01	8.03738e-04	4.00128e+00
6.50148e-01	7.84520e-04	4.00128e+00
6.60137e-01	7.65580e-04	4.00128e+00
6.70160e-01	7.46744e-04	4.00129e+00
6.80146e-01	7.28210e-04	4.00130e+00
6.90134e-01	7.09957e-04	4.00131e+00
7.00153e-01	6.91708e-04	4.00129e+00
7.10144e-01	6.73802e-04	4.00128e+00
7.20128e-01	6.56078e-04	4.00130e+00
7.30153e-01	6.38521e-04	4.00133e+00
7.40141e-01	6.21290e-04	4.00132e+00
7.50126e-01	6.04219e-04	4.00131e+00
7.60156e-01	5.87332e-04	4.00133e+00
