VGB8	VSB8
4.06638e+00	1.45014e+00
4.08413e+00	1.46013e+00
4.10190e+00	1.47011e+00
4.11968e+00	1.48014e+00
4.13749e+00	1.49012e+00
4.15513e+00	1.50011e+00
4.17294e+00	1.51013e+00
4.19065e+00	1.52012e+00
4.20837e+00	1.53014e+00
4.22603e+00	1.54013e+00
4.24365e+00	1.55012e+00
4.26131e+00	1.56014e+00
4.27894e+00	1.57013e+00
4.29651e+00	1.58012e+00
4.31425e+00	1.59014e+00
4.33172e+00	1.60013e+00
4.34928e+00	1.61011e+00
4.36687e+00	1.62013e+00
4.38441e+00	1.63012e+00
4.40191e+00	1.64011e+00
4.41948e+00	1.65013e+00
4.43697e+00	1.66012e+00
4.45441e+00	1.67011e+00
4.47192e+00	1.68013e+00
4.48936e+00	1.69012e+00
4.50678e+00	1.70010e+00
4.52428e+00	1.71012e+00
4.54166e+00	1.72012e+00
4.55909e+00	1.73010e+00
4.57651e+00	1.74012e+00
4.59383e+00	1.75011e+00
4.61118e+00	1.76009e+00
4.62859e+00	1.77011e+00
4.64589e+00	1.78010e+00
4.66324e+00	1.79013e+00
4.68049e+00	1.80011e+00
4.69783e+00	1.81010e+00
4.71517e+00	1.82012e+00
4.73237e+00	1.83011e+00
4.74969e+00	1.84009e+00
4.76696e+00	1.85012e+00
4.78413e+00	1.86010e+00
4.80135e+00	1.87009e+00
4.81858e+00	1.88010e+00
4.83574e+00	1.89009e+00
4.85295e+00	1.90007e+00
4.87014e+00	1.91009e+00
4.88730e+00	1.92008e+00
4.90446e+00	1.93007e+00
4.92166e+00	1.94009e+00
4.93877e+00	1.95008e+00
4.95577e+00	1.96006e+00
4.97296e+00	1.97008e+00
4.99001e+00	1.98007e+00
5.00711e+00	1.99005e+00
5.02421e+00	2.00007e+00
5.04201e+00	2.01104e+00
5.05950e+00	2.02131e+00
5.07646e+00	2.03128e+00
5.09338e+00	2.04119e+00
5.11035e+00	2.05115e+00
5.12723e+00	2.06110e+00
5.14462e+00	2.07136e+00
5.16151e+00	2.08125e+00
5.17834e+00	2.09117e+00
5.19527e+00	2.10113e+00
5.21210e+00	2.11109e+00
5.22949e+00	2.12130e+00
5.24643e+00	2.13129e+00
5.26318e+00	2.14123e+00
5.28000e+00	2.15116e+00
5.29679e+00	2.16113e+00
5.31415e+00	2.17136e+00
5.33087e+00	2.18129e+00
5.34763e+00	2.19123e+00
5.36445e+00	2.20118e+00
5.38115e+00	2.21111e+00
5.39839e+00	2.22135e+00
5.41515e+00	2.23131e+00
5.43179e+00	2.24126e+00
5.44853e+00	2.25115e+00
5.46523e+00	2.26109e+00
5.48241e+00	2.27138e+00
5.49918e+00	2.28132e+00
5.51587e+00	2.29124e+00
5.53254e+00	2.30121e+00
5.54920e+00	2.31114e+00
5.56629e+00	2.32141e+00
5.58299e+00	2.33137e+00
5.59966e+00	2.34131e+00
5.61624e+00	2.35121e+00
5.63276e+00	2.36116e+00
5.64988e+00	2.37141e+00
5.66648e+00	2.38136e+00
5.68306e+00	2.39129e+00
5.69964e+00	2.40126e+00
5.71623e+00	2.41115e+00
5.73321e+00	2.42140e+00
5.74983e+00	2.43133e+00
5.76627e+00	2.44127e+00
5.78279e+00	2.45119e+00
5.79929e+00	2.46112e+00
5.81581e+00	2.47106e+00
5.83281e+00	2.48134e+00
5.84927e+00	2.49128e+00
5.86575e+00	2.50121e+00
5.88217e+00	2.51114e+00
5.89864e+00	2.52104e+00
5.91565e+00	2.53132e+00
5.93209e+00	2.54126e+00
5.94854e+00	2.55120e+00
5.96490e+00	2.56114e+00
5.98128e+00	2.57106e+00
5.99823e+00	2.58131e+00
6.01459e+00	2.59125e+00
6.03101e+00	2.60117e+00
6.04736e+00	2.61111e+00
6.06373e+00	2.62107e+00
6.08064e+00	2.63131e+00
6.09693e+00	2.64123e+00
6.11327e+00	2.65119e+00
6.12960e+00	2.66111e+00
6.14596e+00	2.67104e+00
6.16276e+00	2.68128e+00
6.17907e+00	2.69125e+00
6.19539e+00	2.70123e+00
6.21172e+00	2.71114e+00
6.22798e+00	2.72107e+00
6.24477e+00	2.73129e+00
6.26104e+00	2.74124e+00
6.27725e+00	2.75118e+00
6.29356e+00	2.76109e+00
6.30975e+00	2.77103e+00
6.32651e+00	2.78134e+00
6.34284e+00	2.79128e+00
6.35905e+00	2.80121e+00
6.37526e+00	2.81116e+00
6.39147e+00	2.82111e+00
6.40816e+00	2.83136e+00
6.42432e+00	2.84127e+00
6.44053e+00	2.85120e+00
6.45667e+00	2.86115e+00
6.47290e+00	2.87109e+00
6.48956e+00	2.88136e+00
6.50571e+00	2.89130e+00
6.52184e+00	2.90121e+00
6.53803e+00	2.91117e+00
6.55414e+00	2.92111e+00
6.57080e+00	2.93134e+00
6.58690e+00	2.94130e+00
6.60304e+00	2.95127e+00
6.61916e+00	2.96121e+00
6.63525e+00	2.97112e+00
6.65182e+00	2.98137e+00
6.66789e+00	2.99132e+00
6.68394e+00	3.00126e+00
6.69994e+00	3.01118e+00
6.71608e+00	3.02111e+00
6.73266e+00	3.03142e+00
6.74871e+00	3.04133e+00
6.76476e+00	3.05126e+00
6.78072e+00	3.06118e+00
6.79675e+00	3.07112e+00
6.81328e+00	3.08139e+00
6.82925e+00	3.09131e+00
6.84530e+00	3.10125e+00
6.86134e+00	3.11121e+00
6.87736e+00	3.12114e+00
6.89377e+00	3.13139e+00
6.90973e+00	3.14130e+00
6.92568e+00	3.15121e+00
6.94164e+00	3.16117e+00
6.95759e+00	3.17111e+00
6.97407e+00	3.18135e+00
6.99004e+00	3.19128e+00
7.00600e+00	3.20122e+00
7.02185e+00	3.21118e+00
7.03777e+00	3.22109e+00
7.05415e+00	3.23134e+00
7.07008e+00	3.24128e+00
7.08596e+00	3.25123e+00
7.10187e+00	3.26118e+00
7.11773e+00	3.27111e+00
7.13416e+00	3.28138e+00
7.15004e+00	3.29135e+00
7.16591e+00	3.30131e+00
7.18179e+00	3.31121e+00
7.19758e+00	3.32114e+00
7.21397e+00	3.33143e+00
7.22982e+00	3.34138e+00
7.24567e+00	3.35125e+00
7.26151e+00	3.36122e+00
7.27728e+00	3.37119e+00
7.29357e+00	3.38145e+00
7.30944e+00	3.39134e+00
7.32520e+00	3.40126e+00
7.34097e+00	3.41120e+00
7.35677e+00	3.42116e+00
7.37302e+00	3.43143e+00
7.38889e+00	3.44136e+00
7.40466e+00	3.45130e+00
7.42043e+00	3.46125e+00
7.43621e+00	3.47123e+00
7.45244e+00	3.48144e+00
7.46822e+00	3.49136e+00
7.48400e+00	3.50132e+00
7.49970e+00	3.51124e+00
7.51536e+00	3.52117e+00
7.53158e+00	3.53144e+00
7.54732e+00	3.54138e+00
7.56298e+00	3.55131e+00
7.57864e+00	3.56120e+00
7.59434e+00	3.57116e+00
7.61059e+00	3.58143e+00
7.62630e+00	3.59137e+00
7.64196e+00	3.60131e+00
7.65766e+00	3.61125e+00
7.67333e+00	3.62118e+00
7.68943e+00	3.63145e+00
7.70513e+00	3.64137e+00
7.72079e+00	3.65129e+00
7.73638e+00	3.66124e+00
7.75204e+00	3.67122e+00
7.76824e+00	3.68143e+00
7.78378e+00	3.69136e+00
7.79948e+00	3.70131e+00
7.81507e+00	3.71128e+00
7.83072e+00	3.72123e+00
7.84633e+00	3.73114e+00
7.86246e+00	3.74140e+00
7.87800e+00	3.75134e+00
7.89358e+00	3.76129e+00
7.90914e+00	3.77121e+00
7.92468e+00	3.78114e+00
7.94075e+00	3.79139e+00
7.95636e+00	3.80135e+00
7.97189e+00	3.81127e+00
7.98748e+00	3.82120e+00
8.00304e+00	3.83115e+00
8.01904e+00	3.84143e+00
8.03459e+00	3.85137e+00
8.05011e+00	3.86127e+00
8.06574e+00	3.87129e+00
8.08131e+00	3.88122e+00
8.09731e+00	3.89147e+00
8.11280e+00	3.90140e+00
8.12827e+00	3.91132e+00
8.14377e+00	3.92127e+00
8.15923e+00	3.93121e+00
8.17523e+00	3.94145e+00
8.19079e+00	3.95142e+00
8.20621e+00	3.96137e+00
8.22175e+00	3.97134e+00
8.23723e+00	3.98126e+00
8.25316e+00	3.99152e+00
8.26869e+00	4.00144e+00
8.28412e+00	4.01139e+00
8.29955e+00	4.02133e+00
8.31501e+00	4.03124e+00
8.33086e+00	4.04149e+00
8.34630e+00	4.05143e+00
8.36175e+00	4.06139e+00
8.37718e+00	4.07130e+00
8.39256e+00	4.08121e+00
8.40847e+00	4.09150e+00
8.42398e+00	4.10148e+00
8.43932e+00	4.11140e+00
8.45480e+00	4.12133e+00
8.47012e+00	4.13129e+00
8.48602e+00	4.14153e+00
8.50135e+00	4.15144e+00
8.51676e+00	4.16139e+00
8.53212e+00	4.17133e+00
8.54747e+00	4.18132e+00
8.56337e+00	4.19158e+00
8.57870e+00	4.20146e+00
8.59402e+00	4.21137e+00
8.60936e+00	4.22134e+00
8.62469e+00	4.23130e+00
8.64048e+00	4.24149e+00
8.65585e+00	4.25140e+00
8.67122e+00	4.26141e+00
8.68652e+00	4.27134e+00
8.70189e+00	4.28126e+00
8.71768e+00	4.29151e+00
8.73302e+00	4.30146e+00
8.74827e+00	4.31139e+00
8.76356e+00	4.32132e+00
8.77882e+00	4.33122e+00
8.79463e+00	4.34150e+00
8.81001e+00	4.35147e+00
8.82521e+00	4.36140e+00
8.84050e+00	4.37135e+00
8.85582e+00	4.38128e+00
8.87162e+00	4.39156e+00
8.88680e+00	4.40149e+00
8.90207e+00	4.41140e+00
8.91730e+00	4.42135e+00
8.93264e+00	4.43134e+00
8.94840e+00	4.44157e+00
8.96354e+00	4.45150e+00
8.97878e+00	4.46141e+00
8.99406e+00	4.47138e+00
9.00914e+00	4.48130e+00
