VBG	ID
-9.02891e-05	9.78708e-14
9.93032e-03	1.23858e-13
1.99339e-02	1.46151e-13
2.99343e-02	1.70588e-13
3.99418e-02	1.97291e-13
4.99383e-02	2.15530e-13
5.99452e-02	2.29835e-13
6.99435e-02	2.52247e-13
7.99427e-02	2.45690e-13
8.99457e-02	2.70843e-13
9.99435e-02	2.94924e-13
1.09941e-01	3.43800e-13
1.19942e-01	3.89218e-13
1.29941e-01	4.68373e-13
1.39944e-01	5.68032e-13
1.49938e-01	7.07984e-13
1.59942e-01	8.91805e-13
1.69942e-01	1.16634e-12
1.79946e-01	1.54197e-12
1.89944e-01	2.09308e-12
1.99942e-01	2.82860e-12
2.09979e-01	3.89194e-12
2.19975e-01	5.31781e-12
2.29969e-01	7.21276e-12
2.39963e-01	9.69148e-12
2.49959e-01	1.28338e-11
2.59998e-01	1.66507e-11
2.69985e-01	2.10439e-11
2.79980e-01	2.59172e-11
2.89969e-01	3.10422e-11
2.99963e-01	3.61496e-11
3.09997e-01	4.10881e-11
3.19993e-01	4.54375e-11
3.29985e-01	4.87396e-11
3.39975e-01	5.19806e-11
3.49967e-01	5.49120e-11
3.59997e-01	5.70291e-11
3.69987e-01	5.85062e-11
3.79981e-01	5.99368e-11
3.89978e-01	6.08634e-11
3.99976e-01	6.15220e-11
4.10005e-01	6.86296e-11
4.19999e-01	6.70550e-11
4.29994e-01	6.60107e-11
4.39989e-01	6.53682e-11
4.49982e-01	6.50343e-11
4.60011e-01	6.49422e-11
4.70007e-01	6.49167e-11
4.79996e-01	6.50260e-11
4.89991e-01	6.51900e-11
4.99990e-01	6.46254e-11
5.10012e-01	6.50649e-11
5.20012e-01	6.52874e-11
5.30008e-01	6.55324e-11
5.40009e-01	6.57750e-11
5.49997e-01	6.60876e-11
5.60026e-01	6.63370e-11
5.70016e-01	6.64897e-11
5.80017e-01	6.66434e-11
5.90002e-01	6.68448e-11
5.99999e-01	6.69932e-11
6.10022e-01	6.71873e-11
6.20017e-01	6.73062e-11
6.30015e-01	6.74374e-11
6.40006e-01	6.75437e-11
6.49998e-01	6.77698e-11
6.60028e-01	6.80559e-11
6.70023e-01	6.75659e-11
6.80016e-01	6.79671e-11
6.90015e-01	6.82899e-11
7.00009e-01	6.84789e-11
7.10042e-01	6.87659e-11
7.20038e-01	6.89588e-11
7.30031e-01	6.90422e-11
7.40025e-01	6.92049e-11
7.50015e-01	6.93343e-11
7.60041e-01	6.96920e-11
7.70035e-01	6.99676e-11
7.80029e-01	7.01205e-11
7.90021e-01	7.02662e-11
8.00015e-01	7.04559e-11
8.10041e-01	7.07095e-11
8.20040e-01	7.08784e-11
8.30030e-01	7.10210e-11
8.40024e-01	7.05793e-11
8.50021e-01	7.10016e-11
8.60057e-01	7.13514e-11
8.70040e-01	7.16171e-11
8.80031e-01	7.17976e-11
8.90019e-01	7.20079e-11
9.00013e-01	7.22820e-11
9.10045e-01	7.26870e-11
9.20039e-01	7.29731e-11
9.30035e-01	7.32777e-11
9.40033e-01	7.37058e-11
9.50016e-01	7.41353e-11
9.60046e-01	7.49277e-11
9.70033e-01	7.56857e-11
9.80029e-01	7.65266e-11
9.90031e-01	7.76184e-11
1.00002e+00	7.90288e-11
1.01005e+00	8.01936e-11
1.02005e+00	8.25772e-11
1.03004e+00	8.53900e-11
1.04003e+00	8.88723e-11
1.05003e+00	9.32941e-11
1.06005e+00	9.90118e-11
1.07004e+00	1.06115e-10
1.08004e+00	1.15187e-10
1.09003e+00	1.26703e-10
1.10002e+00	1.41236e-10
1.11005e+00	1.60059e-10
1.12004e+00	1.84066e-10
1.13004e+00	2.19379e-10
1.14004e+00	2.67244e-10
1.15004e+00	3.11666e-10
1.16005e+00	3.74292e-10
1.17004e+00	4.56820e-10
1.18003e+00	5.63968e-10
1.19003e+00	7.03885e-10
1.20002e+00	8.84483e-10
1.21005e+00	1.11256e-09
1.22004e+00	1.43533e-09
1.23004e+00	1.85000e-09
1.24003e+00	2.38304e-09
1.25003e+00	3.06494e-09
1.26005e+00	3.94454e-09
1.27005e+00	5.06780e-09
1.28004e+00	6.51772e-09
1.29003e+00	8.38516e-09
1.30003e+00	1.07644e-08
1.31006e+00	1.39358e-08
1.32005e+00	1.80266e-08
1.33004e+00	2.33149e-08
1.34004e+00	3.01360e-08
1.35003e+00	3.89273e-08
1.36006e+00	5.02883e-08
1.37005e+00	6.48738e-08
1.38004e+00	8.36025e-08
1.39003e+00	1.07352e-07
1.40003e+00	1.38032e-07
1.41006e+00	1.77097e-07
1.42005e+00	2.26278e-07
1.43005e+00	2.88082e-07
1.44004e+00	3.65094e-07
1.45003e+00	4.60458e-07
1.46006e+00	5.78086e-07
1.47005e+00	7.20599e-07
1.48004e+00	8.92750e-07
1.49004e+00	1.09798e-06
1.50003e+00	1.34097e-06
1.51005e+00	1.62670e-06
1.52005e+00	1.95736e-06
1.53004e+00	2.33768e-06
1.54003e+00	2.77076e-06
1.55002e+00	3.26107e-06
1.56006e+00	3.81313e-06
1.57004e+00	4.42524e-06
1.58003e+00	5.10243e-06
1.59003e+00	5.84726e-06
1.60002e+00	6.66091e-06
1.61005e+00	7.54871e-06
1.62004e+00	8.50523e-06
1.63004e+00	9.53579e-06
1.64003e+00	1.06444e-05
1.65002e+00	1.18245e-05
1.66004e+00	1.30870e-05
1.67004e+00	1.44209e-05
1.68003e+00	1.58314e-05
1.69002e+00	1.73218e-05
1.70001e+00	1.88884e-05
1.71001e+00	2.05348e-05
1.72004e+00	2.22688e-05
1.73003e+00	2.40727e-05
1.74002e+00	2.59566e-05
1.75001e+00	2.79185e-05
1.75999e+00	2.99622e-05
1.77002e+00	3.20900e-05
1.78002e+00	3.42911e-05
1.79000e+00	3.65731e-05
1.79999e+00	3.89312e-05
1.80998e+00	4.13678e-05
1.82002e+00	4.38966e-05
1.83001e+00	4.64929e-05
1.84000e+00	4.91672e-05
1.84999e+00	5.19213e-05
1.85998e+00	5.47541e-05
1.87001e+00	5.76744e-05
1.88000e+00	6.06620e-05
1.89000e+00	6.37318e-05
1.89999e+00	6.68738e-05
1.90997e+00	7.00926e-05
1.92000e+00	7.33997e-05
1.93000e+00	7.67756e-05
1.93998e+00	8.02260e-05
1.94997e+00	8.37555e-05
1.95997e+00	8.73617e-05
1.96999e+00	9.10562e-05
1.97998e+00	9.48125e-05
1.98997e+00	9.86477e-05
1.99996e+00	1.02555e-04
2.00987e+00	1.06563e-04
2.01978e+00	1.10597e-04
2.02970e+00	1.14707e-04
2.03964e+00	1.18893e-04
2.04960e+00	1.23160e-04
2.05986e+00	1.27629e-04
2.06979e+00	1.32042e-04
2.07973e+00	1.36522e-04
2.08968e+00	1.41069e-04
2.09961e+00	1.45703e-04
2.10983e+00	1.50546e-04
2.11980e+00	1.55313e-04
2.12974e+00	1.60149e-04
2.13965e+00	1.65075e-04
2.14963e+00	1.70086e-04
2.15992e+00	1.75302e-04
2.16983e+00	1.80428e-04
2.17979e+00	1.85627e-04
2.18971e+00	1.90891e-04
2.19960e+00	1.96234e-04
2.20987e+00	2.01816e-04
2.21983e+00	2.07297e-04
2.22975e+00	2.12850e-04
2.23964e+00	2.18468e-04
2.24962e+00	2.24159e-04
2.25988e+00	2.30114e-04
2.26981e+00	2.35947e-04
2.27973e+00	2.41840e-04
2.28966e+00	2.47810e-04
2.29964e+00	2.53853e-04
2.30990e+00	2.60177e-04
2.31985e+00	2.66355e-04
2.32980e+00	2.72603e-04
2.33974e+00	2.78912e-04
2.34967e+00	2.85274e-04
2.35993e+00	2.91929e-04
2.36986e+00	2.98440e-04
2.37978e+00	3.05017e-04
2.38975e+00	3.11675e-04
2.39967e+00	3.18380e-04
2.40994e+00	3.25382e-04
2.41988e+00	3.32237e-04
2.42982e+00	3.39138e-04
2.43974e+00	3.46106e-04
2.44969e+00	3.53155e-04
2.45995e+00	3.60487e-04
2.46988e+00	3.67666e-04
2.47980e+00	3.74918e-04
2.48975e+00	3.82202e-04
2.49968e+00	3.89568e-04
2.50995e+00	3.97238e-04
2.51987e+00	4.04736e-04
2.52981e+00	4.12282e-04
2.53974e+00	4.19901e-04
2.54966e+00	4.27595e-04
2.55993e+00	4.35612e-04
2.56990e+00	4.43413e-04
2.57982e+00	4.51301e-04
2.58977e+00	4.59234e-04
2.59972e+00	4.67238e-04
2.60996e+00	4.75564e-04
2.61985e+00	4.83695e-04
2.62981e+00	4.91881e-04
2.63979e+00	5.00150e-04
2.64972e+00	5.08484e-04
2.65996e+00	5.17133e-04
2.66991e+00	5.25575e-04
2.67987e+00	5.34073e-04
2.68979e+00	5.42609e-04
2.69971e+00	5.51237e-04
2.70998e+00	5.60206e-04
2.71992e+00	5.68967e-04
2.72989e+00	5.77772e-04
2.73980e+00	5.86634e-04
2.74974e+00	5.95552e-04
2.75998e+00	6.04830e-04
2.76992e+00	6.13870e-04
2.77987e+00	6.22978e-04
2.78979e+00	6.32134e-04
2.79975e+00	6.41380e-04
2.81000e+00	6.50962e-04
2.81995e+00	6.60314e-04
2.82985e+00	6.69699e-04
2.83980e+00	6.79181e-04
2.84973e+00	6.88699e-04
2.85999e+00	6.98584e-04
2.86991e+00	7.08206e-04
2.87984e+00	7.17907e-04
2.88981e+00	7.27683e-04
2.89974e+00	7.37496e-04
